[0/6] CSV okundu. Toplam satır: 4537 | com: 3714 | de: 820
[1/6] Benzersiz değerler çıkarılıyor...
[1/6] Tamam. Süre: 0.01 sn | Benzersiz Title (com): 3304 | (de): 735 | Benzersiz Category (com): 108 | (de): 28

[2/6] Title çevirileri başlıyor...
[Title EN->TR] Başlıyor | src=en dest=tr | toplam benzersiz=3304
[Title EN->TR] İlerleme 2600/3304 | ok=2600 fail=0 | hız=1.32/sn | kalan~8.9 dk
[Title EN->TR] İlerleme 2625/3304 | ok=2625 fail=0 | hız=1.32/sn | kalan~8.6 dk
[Title EN->TR] İlerleme 2650/3304 | ok=2650 fail=0 | hız=1.32/sn | kalan~8.3 dk
[Title EN->TR] İlerleme 2675/3304 | ok=2675 fail=0 | hız=1.31/sn | kalan~8.0 dk
[Title EN->TR] İlerleme 2700/3304 | ok=2700 fail=0 | hız=1.31/sn | kalan~7.7 dk
[Title EN->TR] İlerleme 2725/3304 | ok=2725 fail=0 | hız=1.31/sn | kalan~7.4 dk
[Title EN->TR] İlerleme 2750/3304 | ok=2750 fail=0 | hız=1.30/sn | kalan~7.1 dk
[Title EN->TR] İlerleme 2775/3304 | ok=2775 fail=0 | hız=1.30/sn | kalan~6.8 dk
[Title EN->TR] İlerleme 2800/3304 | ok=2800 fail=0 | hız=1.30/sn | kalan~6.5 dk
[Title EN->TR] İlerleme 2825/3304 | ok=2825 fail=0 | hız=1.30/sn | kalan~6.2 dk
[Title EN->TR] İlerleme 2850/3304 | ok=2850 fail=0 | hız=1.29/sn | kalan~5.9 dk
[Title EN->TR] İlerleme 2875/3304 | ok=2875 fail=0 | hız=1.29/sn | kalan~5.6 dk
[Title EN->TR] İlerleme 2900/3304 | ok=2900 fail=0 | hız=1.28/sn | kalan~5.2 dk
[Title EN->TR] İlerleme 2925/3304 | ok=2925 fail=0 | hız=1.28/sn | kalan~4.9 dk
[Title EN->TR] İlerleme 2950/3304 | ok=2950 fail=0 | hız=1.28/sn | kalan~4.6 dk
[Title EN->TR] İlerleme 2975/3304 | ok=2975 fail=0 | hız=1.27/sn | kalan~4.3 dk
[Title EN->TR] İlerleme 3000/3304 | ok=3000 fail=0 | hız=1.27/sn | kalan~4.0 dk
[Title EN->TR] İlerleme 3025/3304 | ok=3025 fail=0 | hız=1.27/sn | kalan~3.7 dk
[Title EN->TR] İlerleme 3050/3304 | ok=3050 fail=0 | hız=1.26/sn | kalan~3.4 dk
[Title EN->TR] İlerleme 3075/3304 | ok=3075 fail=0 | hız=1.26/sn | kalan~3.0 dk
[Title EN->TR] İlerleme 3100/3304 | ok=3100 fail=0 | hız=1.26/sn | kalan~2.7 dk
[Title EN->TR] İlerleme 3125/3304 | ok=3125 fail=0 | hız=1.26/sn | kalan~2.4 dk
[Title EN->TR] İlerleme 3150/3304 | ok=3150 fail=0 | hız=1.25/sn | kalan~2.0 dk
[Title EN->TR] İlerleme 3175/3304 | ok=3175 fail=0 | hız=1.25/sn | kalan~1.7 dk
[Title EN->TR] İlerleme 3200/3304 | ok=3200 fail=0 | hız=1.24/sn | kalan~1.4 dk
[Title EN->TR] İlerleme 3225/3304 | ok=3225 fail=0 | hız=1.24/sn | kalan~1.1 dk
[Title EN->TR] İlerleme 3250/3304 | ok=3250 fail=0 | hız=1.24/sn | kalan~0.7 dk
[Title EN->TR] İlerleme 3275/3304 | ok=3275 fail=0 | hız=1.23/sn | kalan~0.4 dk
[Title EN->TR] İlerleme 3300/3304 | ok=3300 fail=0 | hız=1.23/sn | kalan~0.1 dk
[Title EN->TR] İlerleme 3304/3304 | ok=3304 fail=0 | hız=1.23/sn | kalan~0.0 dk
[Title DE->TR] Başlıyor | src=de dest=tr | toplam benzersiz=735
[Title DE->TR] İlerleme 25/735 | ok=25 fail=0 | hız=1.76/sn | kalan~6.7 dk
[Title DE->TR] İlerleme 50/735 | ok=50 fail=0 | hız=1.42/sn | kalan~8.0 dk
[Title DE->TR] İlerleme 75/735 | ok=75 fail=0 | hız=1.30/sn | kalan~8.4 dk
